,pca,pls
201107,0.2685746114365901,0.863985882284921
201108,-0.18094116714057715,0.7751233661254879
201110,-0.4159059040860505,0.5526953485263438
201111,-1.0602893838399703,0.44367885420030595
201112,-1.5378112558903307,0.21452645222367994
201201,-1.2086624090521372,0.3709318421106199
201202,-0.17806429224975087,0.7999910626448271
201203,0.10841921803248859,1.0015126396723275
201204,-0.5314370949354833,0.7236935165912877
201205,-0.7056879627911211,0.5644203364446797
201206,-1.3330660423572687,0.4891589991709011
201207,-0.8882717715751931,0.6372146672948273
201208,-0.656096656470979,0.5967318110282795
201209,-0.2708412001381523,0.92656346242124
201210,-0.48046256577128094,0.6655447312232542
201211,-1.240845942480439,0.2923759315579082
201212,-0.936811636044554,0.8007339251865321
201301,-1.5854136229747817,0.5136640762890156
201302,-1.2626766458336052,0.82085891943999
201303,-1.2938300445945412,0.4583777971004725
201304,-1.4656954761792529,0.4133191232699853
201305,-0.6276688589083882,0.6692289797281044
201306,-0.43166316531169113,0.6582956568805097
201307,-0.4765096960382005,0.7192378607487383
201308,-0.4187726452539331,0.7053672691380541
201309,0.09720058989164962,1.0633769720267099
201310,-0.1257529805386348,0.9270001278655237
201311,-0.419283286710126,0.8690851921801183
201312,-0.4289058162984656,0.7977869070660466
201401,0.1899365917986141,1.0324690797385174
201402,0.2752201553721556,0.670469278584431
201403,0.3759731323650121,1.1582249944140237
201404,-0.6442067414350572,0.5455450313410126
201405,-0.7297516030840574,0.5331796036384407
201406,-0.2640533192954381,0.7192323591541239
201407,-0.12187399738107353,0.684053369688228
201408,-0.7275896244074549,0.5229120367794406
201409,-0.6599923827357815,0.7934462349549056
201410,-0.6586317876161059,0.5865080236852229
201411,-0.8066502193223595,0.7371583972261855
201412,-0.8020562267302557,0.826350995132265
201501,-0.5060433838201511,1.0063612497187844
201502,-0.906783919120567,0.11870985636195175
201503,-0.38447999239104347,0.3914421214679543
201504,-0.2128521427344249,0.9936225613403764
201505,-0.2616574754182413,0.510957002837471
201506,0.5776623500851356,1.1654372835070206
201507,-0.0021136240258894817,1.0316035598380728
201508,-0.43454518476781373,0.81777723208302
201509,-0.5958893490952971,1.2086333899788853
201510,-0.8283851767077978,0.5173697439304697
201511,-0.6351599455455963,0.738890452167423
201512,-0.5087627718138783,1.0712995950024076
201602,-1.912545312366322,0.17058117892788138
201603,-1.7501057578041055,0.19514384793022033
201604,-1.7816930861942786,0.330032395690397
201605,-1.2490122391952352,0.5086497731944253
201606,-1.3077120122875183,0.9696840939242669
201607,-1.0875332741295705,0.5281753874242691
201608,-1.2675088380790538,0.31940040420176574
201609,-0.4150925141509605,1.4867820456065082
201610,-0.9476779083723542,0.6581666743341699
201611,-1.4674968479123027,0.2434508044223458
201612,-1.285410704843783,0.503107702925542
201701,-0.9771499215037143,0.4569541691776995
201702,-0.8895981745039626,0.3533960976710926
201703,-0.3472926073804613,0.7473924216614269
201704,-1.2764665644763507,0.4447946184168503
201705,-1.279738763096235,0.23993591855417784
201706,-1.0454750496334106,0.45275589272251693
201707,-0.9686588788163698,0.8713456937963765
201708,-1.7044208558882437,0.037514540138201324
201709,-0.7583512261304308,0.8387497528575422
201710,-0.32245051266407193,1.1772396809963246
201711,-0.8404475198490905,0.5837433035821226
201712,-1.1669642701822838,0.353669504559767
201801,-0.13737836150295704,0.9906729566513132
201802,-0.33289709100581766,0.2691224622414349
201803,0.16211778535794283,0.8813324078446703
201804,0.1395008193186566,0.9748774627763727
201805,0.07158211059781912,0.6381183622227895
201806,0.7601979705648433,1.0629270381048574
201807,0.3255742244474165,0.926865295954244
201808,0.20709492576005029,0.6674853066228711
201809,0.4497742117544269,1.0699325437984375
201810,-0.6422304987984505,0.9399598247036245
201811,-1.1409697349810943,0.3188759325427786
201812,-1.4149342714948911,0.24262264441745873
201901,-0.7924534657799208,0.22476582737729656
201902,-0.35894510322820905,0.5185606280543894
201903,0.028985821878156955,1.1135987726755419
201904,0.04330787438993377,1.1274449114651923
201905,0.2328189132897017,1.0249799115084652
201906,0.2886772350845567,1.384743732223533
201907,0.2967656441364785,1.0119776105350347
201908,-0.43513611870168106,0.6178915549730433
201909,-0.37227180057761766,0.8001049145428706
201910,-0.2902636982884375,0.577809249052673
201911,0.02767647730633734,0.768000066259191
201912,0.4301282451643546,1.6148811873685616
202001,0.8596980841378057,1.439695968211206
202002,0.6220618383751132,1.0914336477620323
202003,-0.6685819997597896,0.19818841549566457
202004,-0.7766333951106743,1.194183574754418
202005,-0.1830618379111078,1.27698993624095
202006,0.5895379400545866,1.462660933722602
202007,1.2502708814949268,1.8022439533511632
202008,1.8335378793291859,2.2401629217548065
202009,1.694462654774039,1.6879046988168915
202010,2.3603007309280946,1.5656123123832466
202011,2.114334248396201,1.7110543740844282
202012,3.9585898188784276,3.103761771431136
202101,4.707630322764616,2.336736515833614
202102,5.166789981384138,2.275519537312781
202103,5.185478930313783,2.034581998899987
202104,1.740687007915384,1.3776075981661404
202105,1.2942920265510927,1.2404250992434283
202106,2.605202591538316,1.7024080374948687
202107,2.522952599589952,1.5409000638379242
202108,1.7712884372710487,1.0796255911393569
202109,2.6578518133173934,1.397545206702043
202110,3.376346478549538,1.2541188050062622
202111,4.195386667961609,2.527981827815237
202112,2.345526662084024,0.9726093181058715
202201,1.740977570553429,0.3824146880299064
202202,3.0817310151310044,2.488266707587482
202203,1.5883635205423454,0.28642461588463153
202204,1.8111635035212088,3.4711441308971325
202205,-1.1360948244026372,0.03650757870952337
