innovation,integrity,quality,respect,teamwork,document_length,Doc_ID
22,9,26,2,4,2819,5526128
84,14,45,7,17,3058,5526129
77,15,44,8,17,2564,5526130
76,9,61,37,14,2751,5526370
38,23,78,30,22,2502,5526372
63,9,73,23,9,2428,5526374
49,7,47,33,20,2466,5526376
32,0,46,0,6,3065,5526557
31,14,26,4,7,2078,5526749
13,1,33,3,4,1824,5527068
111,12,51,23,25,2175,5527162
119,4,48,12,18,2478,5527165
153,10,83,12,33,2254,5527169
10,5,11,2,8,2687,5528486
20,7,20,1,1,1576,5528540
6,2,13,2,2,1236,5528543
14,2,18,0,3,1191,5528546
16,11,18,2,5,1347,5528548
112,9,62,5,10,2674,5528661
67,8,56,9,7,2504,5528666
85,10,71,8,28,2674,5529053
57,4,51,16,19,2015,5530090
31,9,51,1,2,3306,5530126
254,119,333,108,77,16517,5530414
41,10,40,1,4,2862,5530430
58,5,30,4,15,3606,5530909
84,8,43,8,7,2349,5532116
26,21,36,43,21,2502,5532149
98,11,100,6,7,2394,5532399
26,4,25,0,2,3095,5532416
22,4,20,0,4,2853,5532418
60,8,39,3,8,3385,5532421
66,11,83,27,29,2922,5532465
39,13,39,10,8,2004,5532663
56,23,62,40,17,2517,5532728
65,13,50,20,13,2531,5532732
57,11,69,6,10,3038,5532736
37,15,48,8,14,2203,5534332
20,1,19,1,4,1562,5534876
44,5,25,18,11,1779,5534900
125,72,91,86,31,5224,5535112
67,7,48,16,12,4040,5535117
60,9,69,18,9,2462,5536684
41,20,45,14,10,2187,5536695
37,1,17,8,16,1865,5536710
53,1,26,2,5,1535,5536712
85,6,34,9,6,1944,5536714
58,18,32,10,16,1905,5536716
41,4,41,4,11,1249,5536830
8,2,13,0,3,922,5536831
9,3,5,0,2,789,5536833
16,2,19,0,7,975,5536842
85,21,37,8,29,3209,5538060
13,2,13,0,5,1269,5538148
15,3,10,0,1,861,5538178
31,6,60,14,8,3603,5538383
12,4,15,1,6,1482,5539383
29,7,26,15,11,3011,5539752
36,3,30,3,5,2742,5539754
21,2,40,1,8,2117,5539761
7,5,15,0,2,1670,5539765
25,0,47,4,2,2668,5539769
21,5,47,7,7,2347,5539772
42,12,56,6,9,2894,5539775
45,8,47,6,13,2044,5539969
64,6,81,5,17,2735,5539973
77,4,60,7,12,2246,5539975
33,4,30,3,9,1516,5539979
48,6,23,21,15,1445,5540231
29,28,37,20,6,2067,5540850
24,1,40,3,4,2742,5541684
39,6,37,2,9,2737,5541687
35,1,29,4,6,3076,5541689
20,4,15,0,4,2537,5541696
64,9,29,15,11,2391,5541718
154,36,152,21,32,6245,5542047
37,8,46,4,8,1913,5542594
43,4,47,2,17,1627,5543321
4,0,7,0,0,234,5543667
35,2,9,3,10,1069,5543713
38,6,45,4,7,2295,5544711
58,8,53,4,14,2544,5544734
24,0,18,1,1,2784,5544768
115,24,44,21,22,3541,5544869
